,Area,Major,Minor,Angle,Circ,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
58,9.566E-4,0.04,0.03,0.00,0.52,0.06,100.00,425,565,161.57,0.04,1.57,0.64,0.60
59,0.01,0.24,0.04,57.98,0.25,0.29,100.00,319,589,52.43,0.08,5.51,0.18,0.50
60,0.02,0.48,0.06,116.31,0.11,0.63,100.00,279,591,115.11,0.12,8.63,0.12,0.32
61,0.00,0.09,0.02,168.25,0.51,0.10,100.00,1423,590,158.20,0.03,3.68,0.27,0.67
62,9.566E-4,0.06,0.02,118.15,0.64,0.06,100.00,1532,590,123.69,0.03,2.70,0.37,0.67
63,0.00,0.14,0.03,116.41,0.23,0.18,100.00,1427,595,119.05,0.05,5.66,0.18,0.45
64,9.566E-4,0.06,0.02,151.85,0.75,0.06,100.00,1227,614,146.31,0.03,2.70,0.37,0.67
65,0.01,0.26,0.03,78.92,0.17,0.29,100.00,1229,631,79.38,0.05,9.01,0.11,0.55
66,9.566E-4,0.06,0.02,61.85,0.64,0.06,100.00,1386,627,56.31,0.03,2.70,0.37,0.67
67,0.00,0.07,0.03,159.01,0.76,0.08,100.00,1374,626,153.43,0.04,2.61,0.38,0.77
68,0.00,0.07,0.02,39.69,0.70,0.08,100.00,1381,631,45.00,0.04,2.65,0.38,0.67
69,0.00,0.16,0.04,106.97,0.25,0.19,100.00,1059,629,106.70,0.06,4.52,0.22,0.46
70,0.00,0.10,0.03,95.10,0.36,0.11,100.00,1064,640,99.46,0.04,3.89,0.26,0.63
71,0.00,0.11,0.02,75.32,0.40,0.11,100.00,1201,647,71.57,0.03,4.83,0.21,0.67
72,9.566E-4,0.06,0.02,151.85,0.75,0.06,100.00,1065,647,146.31,0.03,2.70,0.37,0.67
73,0.02,0.16,0.14,19.08,0.88,0.18,100.00,107,664,23.96,0.14,1.12,0.89,0.88
74,0.00,0.08,0.02,90.00,0.64,0.07,100.00,1071,658,104.04,0.02,4.00,0.25,1.00
75,0.02,0.50,0.04,112.01,0.12,0.61,100.00,772,661,114.30,0.07,12.52,0.08,0.49
76,0.00,0.06,0.04,90.00,0.87,0.06,100.00,1072,666,123.69,0.04,1.65,0.61,0.83
77,0.00,0.08,0.02,90.00,0.64,0.07,100.00,1531,700,104.04,0.02,4.00,0.25,1.00
78,0.01,0.26,0.03,133.09,0.17,0.33,100.00,383,751,130.60,0.06,8.27,0.12,0.42
79,0.00,0.09,0.03,94.73,0.55,0.09,100.00,1450,759,101.31,0.04,3.00,0.33,0.75
80,0.00,0.09,0.03,110.82,0.43,0.10,100.00,396,766,120.96,0.04,3.16,0.32,0.57
81,0.00,0.13,0.03,105.48,0.46,0.14,100.00,1452,769,113.20,0.05,3.94,0.25,0.71
82,0.03,0.28,0.15,54.52,0.23,0.48,100.00,1460,796,55.71,0.26,1.89,0.53,0.45
83,0.01,0.27,0.04,96.05,0.16,0.35,100.00,1057,788,101.89,0.08,6.87,0.15,0.44
84,0.00,0.07,0.02,107.61,0.54,0.08,100.00,1085,802,116.57,0.03,3.09,0.32,0.67
85,0.00,0.11,0.03,12.81,0.46,0.12,100.00,1080,811,26.57,0.04,4.12,0.24,0.58
86,0.00,0.07,0.02,72.39,0.54,0.08,100.00,591,956,63.43,0.03,3.09,0.32,0.67
87,0.00,0.12,0.04,84.11,0.46,0.13,100.00,1437,1010,74.05,0.05,3.23,0.31,0.65
